" ","Area","X","Y","class"
350,18,403,403.556,0
351,1,437.5,398.5,0
352,3,575.5,399.5,0
353,7,239.643,401.786,0
354,4,460.25,400.5,0
355,5,441.3,401.9,0
356,2,243.5,402,0
357,3,381.5,402.5,0
358,17,567.853,404.088,0
359,1,575.5,402.5,0
360,9,226.278,404.611,0
361,18,236.667,406.278,0
362,5,508.5,405.5,0
363,1,533.5,403.5,0
364,1,458.5,404.5,0
365,17,525.735,410.324,0
366,3,550.5,404.833,0
367,4,378.75,407,0
368,1,443.5,405.5,0
369,144,137.069,421.375,0
370,12,280.833,407.75,0
371,2,286,407,0
372,1,449.5,406.5,0
373,4,454,406.5,0
374,1,547.5,406.5,0
375,32,553.625,410.719,0
376,1,565.5,407.5,0
377,3,503.5,408.5,0
378,10,537.9,412.4,0
379,3,546.5,409.5,0
380,1,568.5,408.5,0
381,2,247.5,410,0
382,2,405.5,412,0
383,2,545.5,413,0
384,9,379.278,419.056,0
385,3,544.5,416.5,0
386,2,405,417,0
387,3,557.5,418.5,0
388,8,528.25,419.625,0
389,4,537,419.25,0
390,4,402,421,0
391,96,717.479,426.854,0
392,31,325.952,425.532,0
393,4,337,421.25,0
394,4,518,421.5,0
395,3,557.5,422.5,0
396,5,386.5,422.9,0
397,11,516.955,424.955,0
398,5,533.5,424.1,0
399,1,543.5,423.5,0
400,4,153.25,426,0
401,6,341.167,427,0
402,3,391.5,424.5,0
403,4,396,425.25,0
404,12,526.667,426.75,0
405,1,542.5,425.5,0
406,1,556.5,425.5,0
407,5,238.3,427.3,0
408,87,425.167,433.5,0
409,1,531.5,427.5,0
410,3,555.5,428.5,0
411,1,521.5,429.5,0
412,1,541.5,429.5,0
413,1,524.5,430.5,0
414,32,330.969,438.594,0
415,17,542.382,435.088,0
416,1,554.5,431.5,0
417,2,251.5,433,0
418,1,319.5,432.5,0
419,1,257.5,433.5,0
420,12,262.75,435.75,0
421,2,553,434,0
422,1,267.5,434.5,0
423,1,711.5,434.5,0
424,51,730.598,439.578,0
425,1,732.5,434.5,0
426,6,269.167,438.5,0
427,85,462.453,449.535,0
428,2,548,438.5,0
429,116,264.879,448.267,0
430,89,390.421,449.32,0
431,9,255.722,441.5,0
432,36,290.5,444.389,0
433,19,356.974,444.974,0
434,59,286.839,451.534,0
435,3,500.5,449.5,0
436,304,24.188,464.128,0
437,3,405.5,451.5,0
438,2,409,451.5,0
439,1,18.5,452.5,0
440,1,413.5,452.5,0
441,1,505.5,452.5,0
442,123,338.28,467.159,0
443,1,416.5,453.5,0
444,2,490,454,0
445,17,421.971,459.676,0
446,3,578.5,454.5,0
447,3,583.5,455.167,0
448,162,206.284,471.136,0
449,1,574.5,455.5,0
450,3,486.833,457.5,0
451,1,586.5,456.5,0
452,1,572.5,458.5,0
453,3,589.167,459.5,0
454,23,670.63,461.326,0
455,5,684.5,460.1,0
456,3,485.5,461.5,0
457,2,272,461.5,0
458,4,505.5,463,0
459,1,574.5,461.5,0
460,1,590.5,464.5,0
461,116,661.647,475.647,0
462,1,486.5,465.5,0
463,9,634.5,465.722,0
464,1,421.5,466.5,0
465,4,503,468,0
466,3,641.5,466.833,0
467,6,578.5,470,0
468,1,420.5,468.5,0
469,1,627.5,468.5,0
470,1,644.5,468.5,0
471,33,287.197,472.348,0
472,12,397.25,472.833,0
473,38,461.895,474.921,0
474,5,268.7,471.7,0
475,3,281.167,471.167,0
476,4,298,471,0
477,1,453.5,470.5,0
478,1,492.5,470.5,0
479,1,499.5,470.5,0
480,4,623,472,0
481,3,647.167,471.5,0
482,1,272.5,471.5,0
483,1,419.5,471.5,0
484,1,670.5,471.5,0
485,58,675.741,475.345,0
486,1,590.5,472.5,0
487,23,451.978,478.761,0
488,3,271.5,475.167,0
489,4,454.5,475,0
490,2,575,475,0
491,19,642.342,478.763,0
492,1,268.5,475.5,0
493,1,415.5,475.5,0
494,6,617.833,477,0
495,1,413.5,476.5,0
496,4,605,476.5,0
497,2,612,476.5,0
498,3,585.5,478.5,0
499,3,600.5,477.5,0
500,70,289.671,484.571,0
501,1,572.5,478.5,0
502,1,597.5,478.5,0
503,32,495.281,487.875,0
504,5,549.5,479.5,0
505,1,595.5,479.5,0
506,1,492.5,480.5,0
507,2,545,480.5,0
508,1,553.5,480.5,0
509,1,582.5,480.5,0
510,2,593,481,0
511,2,633,480.5,0
512,11,538.227,485.955,0
513,2,580,481.5,0
514,16,625.25,483.875,0
515,1,572.5,482.5,0
516,1,577.5,482.5,0
517,1,490.5,483.5,0
518,5,556.1,485.5,0
519,1,575.5,483.5,0
520,66,592.258,499.485,0
521,1,639.5,484.5,0
522,2,280.5,486,0
523,19,385.605,488.974,0
524,2,397,485.5,0
525,1,463.5,485.5,0
526,1,637.5,485.5,0
527,4,214,487,0
528,1,400.5,486.5,0
529,2,461,486.5,0
530,3,628.5,486.5,0
531,54,429.056,491.722,0
532,2,279.5,489,0
533,10,401.6,491.4,0
534,37,630.797,494.608,0
535,1,660.5,488.5,0
536,1,558.5,489.5,0
537,1,637.5,489.5,0
538,22,287.409,497,0
539,4,533.5,493,0
540,3,638.833,492.5,0
541,18,658.944,494.111,0
542,4,388,493,0
543,1,559.5,492.5,0
544,2,567,494,0
545,13,574.115,495.346,0
546,1,292.5,495.5,0
547,40,612.75,497.5,0
548,4,644,495.5,0
549,1,402.5,496.5,0
550,2,534.5,497,0
551,1,560.5,496.5,0
552,2,567.5,497,0
553,2,648,496.5,0
554,33,390.348,501.045,0
555,3,284.833,498.833,0
556,1,341.5,498.5,0
557,4,345,498.5,0
558,2,559.5,499,0
559,27,332.019,506.5,0
560,2,350,500,0
561,4,535.75,501,0
562,1,566.5,499.5,0
563,1,579.5,500.5,0
564,3,353.5,502.5,0
565,8,469.375,502.875,0
566,2,558.5,502,0
567,1,577.5,501.5,0
568,2,570,502.5,0
569,1,575.5,502.5,0
570,1,572.5,503.5,0
571,5,293.7,504.9,0
572,17,450.382,506.676,0
573,2,537.5,505,0
574,6,556,506.333,0
575,1,355.5,505.5,0
576,3,454.833,505.833,0
577,151,465.189,517.493,0
578,2,304,507.5,0
579,3,355.167,508.5,0
580,7,543.5,509.071,0
581,1,621.5,507.5,0
582,1,469.5,508.5,0
583,3,551.5,509.167,0
584,1,548.5,509.5,0
585,1,352.5,510.5,0
586,67,613.485,516.888,0
587,1,350.5,511.5,0
588,1,621.5,511.5,0
589,2,348,512.5,0
590,2,345,513.5,0
591,4,341,514.5,0
592,4,474,517.5,0
593,1,477.5,518.5,0
594,1,479.5,519.5,0
595,2,480.5,522,0
596,243,96.698,559.294,0
597,90,341.844,551.022,0
598,1,93.5,553.5,0
599,1,132.5,556.5,0
600,102,137.569,563.843,0
601,160,479.075,570.319,0
602,135,746.715,574.47,0
603,5,671.5,566.5,0
604,5,678.5,566.9,0
605,1,742.5,566.5,0
606,1,666.5,567.5,0
607,104,681.058,586.962,0
608,18,659.111,575.056,0
609,4,455,572.5,0
610,145,251.783,584.514,0
611,1,451.5,573.5,0
612,8,456.625,577,0
613,5,446.5,577.3,0
614,2,442.5,580,0
615,1,753.5,579.5,0
616,4,537,580.5,0
617,72,546.681,600.167,0
618,5,449.5,582.1,0
619,1,532.5,581.5,0
620,2,753.5,582,0
621,1,530.5,582.5,0
622,20,655.35,590.35,0
623,6,525,587,0
624,160,177.381,598.337,0
625,5,435.5,591.7,0
626,1,521.5,591.5,0
627,1,520.5,593.5,0
628,1,434.5,594.5,0
629,4,432,597,0
630,3,520.5,599.5,0
631,15,477.433,603.567,0
632,1,662.5,600.5,0
633,1,462.5,601.5,0
634,2,465,601.5,0
635,1,468.5,601.5,0
636,1,664.5,601.5,0
637,1,674.5,601.5,0
638,3,459.5,603.5,0
639,2,521.5,603,0
640,1,666.5,602.5,0
641,4,670,602.5,0
642,36,400.694,607.722,0
643,205,54.207,615.656,0
644,163,297.463,613.69,0
645,1,522.5,605.5,0
646,29,638.431,609.983,0
647,3,653.5,606.833,0
648,3,456.833,608.5,0
649,5,524.3,609.5,0
650,13,417.808,614.5,0
651,3,655.5,611.5,0
652,9,454.722,615.5,0
653,9,484.389,615.5,0
654,179,202.411,621.684,0
655,2,528,613,0
656,1,298.5,613.5,0
657,1,387.5,613.5,0
658,1,656.5,614.5,0
659,6,388.667,619,0
660,1,657.5,616.5,0
661,2,54,618.5,0
662,4,657.25,620,0
663,1,213.5,619.5,0
664,1,627.5,619.5,0
665,1,212.5,621.5,0
666,3,417.167,622.5,0
667,2,455,622,0
668,2,483.5,622,0
669,3,629.5,622.5,0
670,6,653.667,623.333,0
671,19,400.184,627.605,0
672,7,480.643,626.357,0
673,7,635.5,626.786,0
674,3,61.833,626.167,0
675,136,298.044,639.044,0
676,6,413,627,0
677,6,460,628,0
678,3,649.5,627.833,0
679,1,476.5,629.5,0
680,1,640.5,629.5,0
681,3,643.5,629.5,0
682,1,646.5,629.5,0
683,5,468.5,630.9,0
684,3,473.5,630.5,0
685,74,162.027,644.162,0
686,3,679.167,642.167,0
687,3,280.5,642.833,0
688,18,684.833,646.778,0
689,1,557.5,644.5,0
690,6,561.5,645,0
691,2,689,645,0
692,1,565.5,645.5,0
693,10,559.5,647.8,0
694,1,678.5,648.5,0
695,1,689.5,648.5,0
696,9,680.5,650.611,0
697,11,672.682,652.773,0
698,8,370.375,653.75,0
699,7,378.5,652.5,0
700,6,470.333,654.167,0
701,3,475.5,653.5,0
702,6,692.833,653.167,0
703,79,355.006,662.601,0
704,1,384.5,653.5,0
705,1,386.5,654.5,0
706,11,687.864,655.864,0
707,4,391,657.5,0
708,7,480.929,658.5,0
709,2,676.5,657,0
710,6,692.833,657.833,0
711,7,467.214,661.5,0
712,6,396.5,662,0
713,1,678.5,659.5,0
714,6,685.167,660.667,0
715,1,74.5,661.5,0
716,8,483.875,665.375,0
717,10,69.3,664.9,0
718,1,74.5,664.5,0
719,5,398.3,668.5,0
720,25,434.42,672.14,0
721,31,474.016,672.597,0
722,14,450.571,670.071,0
723,4,74,669,0
724,95,569.311,678.995,0
725,4,394.75,674,0
726,13,458.115,682.5,0
727,4,392,680,0
728,1,370.5,682.5,0
729,3,380.5,682.5,0
730,3,385.5,682.5,0
731,1,388.5,682.5,0
732,4,376,683.5,0
733,4,429.5,685,0
734,1,570.5,687.5,0
735,1,430.5,689.5,0
736,14,452.714,696.357,0
737,1,431.5,691.5,0
738,2,433,694,0
739,11,439.5,699.136,0
740,116,539.966,710.741,0
741,1,778.5,708.5,0
742,50,768.84,714.04,0
743,102,349.147,731.637,0
744,35,369.9,726.986,0
745,15,542.767,723.967,0
746,3,425.5,731.833,0
747,8,431,735.125,0
748,150,704.7,740.14,0
749,97,386.943,739.902,0
750,1,423.5,734.5,0
751,1,421.5,737.5,0
752,5,363.5,738.5,0
753,11,406.318,739.864,0
754,57,396.693,753.904,0
755,45,368.744,745.544,0
756,1,394.5,740.5,0
757,6,424.333,742.667,0
758,1,722.5,742.5,0
759,1,432.5,743.5,0
760,2,724.5,745,0
761,62,404.806,756.242,0
762,1,429.5,745.5,0
763,45,727.233,749.878,0
764,3,358.5,752.5,0
765,206,127.636,762.981,0
766,1,124.5,753.5,0
767,4,438,754.75,0
768,10,362.5,757.5,0
769,2,432,758,0
770,65,436.269,765.531,0
771,12,112.583,762.167,0
772,3,115.833,768.167,0
773,70,180.157,771.929,0
774,1,130.5,773.5,0
775,18,128,775.5,0
776,4,230,775.5,0
777,1,233.5,775.5,0
778,2,98,778.5,0
779,1,194.5,778.5,0
780,1,487.5,778.5,0
781,1,682.5,778.5,0
782,1,684.5,778.5,0
